CODE POSTAL,NOM DE LA COMMUNE,Geometry X Y,latitude,longitude
43360,ST GERON,"45.3353129399,3.29409683606",45.3353129399,3.29409683606
43530,TIRANGES,"45.2875962706,4.01198563489",45.2875962706,4.01198563489
44810,HERIC,"47.4207936826,-1.63717757742",47.4207936826,-1.63717757742
44380,PORNICHET,"47.2615791665,-2.31415650821",47.2615791665,-2.31415650821
44710,PORT ST PERE,"47.1406810974,-1.76837740762",47.1406810974,-1.76837740762
44570,TRIGNAC,"47.3125328416,-2.20700045585",47.3125328416,-2.20700045585
45620,CERDON,"47.6299186758,2.38147298677",47.6299186758,2.38147298677
45100,ORLEANS,"47.8828634214,1.91610357477",47.8828634214,1.91610357477
45530,SEICHEBRIERES,"47.9818237634,2.27403899045",47.9818237634,2.27403899045
45760,VENNECY,"47.9551852043,2.05249130957",47.9551852043,2.05249130957
46340,LAVERCANTIERE,"44.6271991011,1.3231090399",44.6271991011,1.3231090399
47450,ST HILAIRE DE LUSIGNAN,"44.2477536964,0.53261592446",44.2477536964,0.53261592446
48120,ST ALBAN SUR LIMAGNOLE,"44.796708709,3.40321537339",44.796708709,3.40321537339
48340,ST PIERRE DE NOGARET,"44.4874734198,3.1270768416",44.4874734198,3.1270768416
49650,BRAIN SUR ALLONNES,"47.3056918695,0.0710549100336",47.3056918695,0.0710549100336
49530,LIRE,"47.3302942081,-1.15289307034",47.3302942081,-1.15289307034
49500,MARANS,"47.6416252314,-0.849694724597",47.6416252314,-0.849694724597
50310,EMONDEVILLE,"49.4603061877,-1.33759005071",49.4603061877,-1.33759005071
50770,PIROU,"49.1646654807,-1.55903985715",49.1646654807,-1.55903985715
50730,ST MARTIN DE LANDELLES,"48.5532869253,-1.18372376067",48.5532869253,-1.18372376067
51220,CAUROY LES HERMONVILLE,"49.3562446547,3.92821331358",49.3562446547,3.92821331358
51100,REIMS,"49.2514906066,4.0402302322",49.2514906066,4.0402302322
