Code Postal,Commune,Population,Code Département,latitude,longitude
08380,LA NEUVILLE AUX JOUTES,400.0,08,49.9331443854,4.240874409669999
57260,MULCEY,200.0,57,48.8077142021,6.66402921027
28200,CHATEAUDUN,13900.0,28,48.0762457334,1.32636728625
84760,SAINT MARTIN DE LA BRASQUE,700.0000000000001,84,43.764013596400005,5.539758215959999
04250,LE CAIRE,100.0,04,44.3744163533,6.06875774225
35210,CHATILLON EN VENDELAIS,1700.0000000000002,35,48.2287242632,-1.16547272515
26770,SALLES SOUS BOIS,200.0,26,44.4707924508,4.9400822490400005
58190,BAZOCHES,200.0,58,47.368858753000005,3.7937752445199995
76116,AUZOUVILLE SUR RY,600.0000000000001,76,49.437438621400005,1.3096653044600002
69870,SAINT JUST D AVRAY,700.0000000000001,69,45.9996999746,4.4526558128
